제목,회사,보상금,링크
바이오인식 / OCR 알고리즘 개발,엑스페릭스,합격보상금 100만원,https://www.wanted.co.kr/wd/255556
IT팀 담당자 (3년 이상),얼라인파트너스자산운용,합격보상금 100만원,https://www.wanted.co.kr/wd/266187
Python 개발자,애드크림,합격보상금 100만원,https://www.wanted.co.kr/wd/267253
음성 개발자 (가상 인물 음성 생성),씨앤에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/265675
DevOps 엔지니어,패스트파이브,합격보상금 100만원,https://www.wanted.co.kr/wd/267042
생체신호분석 연구원,룰루랩(lululab),합격보상금 100만원,https://www.wanted.co.kr/wd/264467
파이썬 백엔드 개발자,한국글로벌널리지네트웍,합격보상금 100만원,https://www.wanted.co.kr/wd/264631
피부분석 모델 개발자(분광기반),룰루랩(lululab),합격보상금 100만원,https://www.wanted.co.kr/wd/264385
[CROSS SHOP] Python Backend Developer,크로스이엔에프,합격보상금 100만원,https://www.wanted.co.kr/wd/238977
이커머스 솔루션 Python Backend 리드,샐러드랩,합격보상금 100만원,https://www.wanted.co.kr/wd/267011
생성형 AI Python Fullstack 개발자,콘센트릭스서비스코리아CATALYST,합격보상금 100만원,https://www.wanted.co.kr/wd/265658
Deep Learning Engineer(전문연구요원),플라잎,합격보상금 100만원,https://www.wanted.co.kr/wd/258288
데이터 플랫폼 리드(10년 이상),윌로그,합격보상금 100만원,https://www.wanted.co.kr/wd/253527
Python 개발자,이수시스템,합격보상금 100만원,https://www.wanted.co.kr/wd/256685
AI Research Engineer (LLM Application),시나몬,합격보상금 100만원,https://www.wanted.co.kr/wd/261846
AI Researcher (OCR, 비전-언어모델),인터엑스,합격보상금 100만원,https://www.wanted.co.kr/wd/261479
[쿠팡] Senior Data Scientist,쿠팡,합격보상금 100만원,https://www.wanted.co.kr/wd/266311
AI Engineer (5~10년차),리얼드로우,합격보상금 100만원,https://www.wanted.co.kr/wd/256104
AI 개발자,일루니,합격보상금 100만원,https://www.wanted.co.kr/wd/258496
AI Edge 하드웨어 기반 소프트웨어 엔지니어,비씨엠테크,합격보상금 100만원,https://www.wanted.co.kr/wd/258850
[AI플랫폼팀] Full-stack 개발자(Junior),크라우드웍스,합격보상금 100만원,https://www.wanted.co.kr/wd/255983
[AX] AI/ML 엔지니어,콕스웨이브,합격보상금 100만원,https://www.wanted.co.kr/wd/234298
백엔드 리드 엔지니어 (Python),엘리스,합격보상금 100만원,https://www.wanted.co.kr/wd/230306
DevOps 엔지니어,더블유컨셉코리아(W컨셉),합격보상금 100만원,https://www.wanted.co.kr/wd/253194
[개발] 솔루션 개발팀장(9년 이상),혜움,합격보상금 100만원,https://www.wanted.co.kr/wd/266015
Cyber Threat Analyst (사이버 위협 분석가),에스투더블유(S2W),합격보상금 100만원,https://www.wanted.co.kr/wd/237795
[Align AI] AI 리서치 엔지니어,콕스웨이브,합격보상금 100만원,https://www.wanted.co.kr/wd/258539
AI Engineer,플랜바이테크놀로지스,합격보상금 100만원,https://www.wanted.co.kr/wd/249770
플랫폼 Back-End 개발/운영,펑타이그레이터차이나(피티코리아),합격보상금 100만원,https://www.wanted.co.kr/wd/154140
Senior Machine Learning Engineer,심플랫폼,합격보상금 100만원,https://www.wanted.co.kr/wd/263651
Backend Engineer (전문연구요원),플라잎,합격보상금 100만원,https://www.wanted.co.kr/wd/262515
[DATA&AI] Data Engineer(Back-end),베이글코드(Bagelcode),합격보상금 100만원,https://www.wanted.co.kr/wd/259705
[AI플랫폼팀] Full-stack 개발자(Senior),크라우드웍스,합격보상금 100만원,https://www.wanted.co.kr/wd/255984
Software Developer(Python),람다256,합격보상금 100만원,https://www.wanted.co.kr/wd/261586
Business Data Analyst (BI),펫프렌즈,합격보상금 100만원,https://www.wanted.co.kr/wd/176101
AI Model Optimization Engineer (CPU/GPU/NPU),인터엑스,합격보상금 100만원,https://www.wanted.co.kr/wd/252960
[AX] LLM 소프트웨어 엔지니어,콕스웨이브,합격보상금 100만원,https://www.wanted.co.kr/wd/244312
비즈니스 애널리스트,월급쟁이부자들,합격보상금 100만원,https://www.wanted.co.kr/wd/253624
[원티드단독] Data Analyst (5년 이상),두잇 (Doeat),합격보상금 100만원,https://www.wanted.co.kr/wd/262998
Python 개발 연구원,엑스오비스,합격보상금 100만원,https://www.wanted.co.kr/wd/250770
AI/ML 엔지니어,와탭랩스(WhaTapLabs),합격보상금 100만원,https://www.wanted.co.kr/wd/244545
개발팀 서버파트,비바이노베이션,합격보상금 100만원,https://www.wanted.co.kr/wd/256773
데이터 엔지니어 (3년 이상),워트인텔리전스,합격보상금 100만원,https://www.wanted.co.kr/wd/257199
백엔드 리드,키즈노트,합격보상금 100만원,https://www.wanted.co.kr/wd/236481
DRAM PHY Silicon Validation Engineer,오픈엣지테크놀로지,합격보상금 100만원,https://www.wanted.co.kr/wd/240828
Perception Engineer(자율주행 인지 개발자),뷰런테크놀로지,합격보상금 100만원,https://www.wanted.co.kr/wd/253326
ML engineer/ AI researcher (Senior),알세미,합격보상금 100만원,https://www.wanted.co.kr/wd/262809
DevOps Engineer,인피니티익스체인지코리아,합격보상금 100만원,https://www.wanted.co.kr/wd/263443
데이터 분석가,키즈노트,합격보상금 100만원,https://www.wanted.co.kr/wd/211784
빅데이터 클러스터 시스템 엔지니어  (1~5년),미리비트,합격보상금 100만원,https://www.wanted.co.kr/wd/265676
[개발] JAVA/Python 개발(7년차 이상),아이알큐더스,합격보상금 100만원,https://www.wanted.co.kr/wd/213909
Software Developer,씨메스(CMES),합격보상금 100만원,https://www.wanted.co.kr/wd/255533
AI 개발자(3년 이상),네비웍스,합격보상금 100만원,https://www.wanted.co.kr/wd/209473
[병역특례 현역/보충역] 데이터분석가,넛지헬스케어(캐시워크),합격보상금 100만원,https://www.wanted.co.kr/wd/180914
데이터 사이언티스트 (3년차 이상),애드타입,합격보상금 100만원,https://www.wanted.co.kr/wd/250710
Data Analyst,아임웹,합격보상금 100만원,https://www.wanted.co.kr/wd/226873
웹 크롤링(스크래핑) 개발자 (2년 이상),코딧(CODITCorp.),합격보상금 100만원,https://www.wanted.co.kr/wd/94220
인공지능, 알고리즘 엔지니어,럭스로보(LUXROBO),합격보상금 100만원,https://www.wanted.co.kr/wd/233519
Development, SW 개발 담당 (5년이상),프로메디우스,합격보상금 100만원,https://www.wanted.co.kr/wd/260649
[개발] 백엔드 개발자(5-8년),혜움,합격보상금 100만원,https://www.wanted.co.kr/wd/263825
